Nowy tabor kolejowy dla PKP IC;Bergen Kunde;Janko Muzykant;111111111;Krzychu, kadetem tera;
MW gniazda smierci;MW team;Andrzej Nossek;456456456;Drużyna MW;
Prosjekt (Eksempel);;;;M.P Y-meni;
M projekt C;MW Majowy;Michal Wasilewski;222222221;Drużyna MW;
Liniowy akcelerator cząstek;Europejska Organizacja Badań Jądrowych;Sheldon Cooper;000111000;AndrzejNossekTeam;
W770Relacja_Project1;W77Relacja_Customer1;W77Relacja Contact1.1;555555555;Automatyzacja_NewANteam;
MW gniazda smierci;MW czerwcowy;Marek Wasilewski;999888777;MW2;
MW projekt D;MW czerwcowy;Marek Wasilewski;999888777;MW2;
MW projekt D;MW czerwcowy;Marek Wasilewski;999888777;MW3;
Test 101;1;ASBJØRN KLING;;M.P X-meni;
Remont Dworca Głównego PKP;Ukjent debitor;Andrzej Nossek;456456456;AndrzejNossekTeam;
Krags Terasse 9;Ukjent debitor;Andrzej Nossek;456456456;Sebastiany 2;
Test Seba 2;;;;Sebastiany 1;
Wojtek-Projekt-Regresja;Wojtek Sp. z o. o.;Wojtek Jadrowski;111222333;Wojtek Y;
Test 111;AN - klient jednoosobowy_zmieniony;Marek Wasilewski;999888777;MocTeam2;
Liniowy akcelerator cząstek;Europejska Organizacja Badań Jądrowych;John Smith;;AndrzejNossekTeam;
Test 101;AN - klient jednoosobowy_zmieniony;Dennis Tagaylo;;MocTeam1;
Wojtek-Projekt-Regresja;Wojtek Sp. z o. o.;Wojtek Jadrowski;111222333;Wojtek Z;
Test Seba 2;Bergen Kunde;Clark Kent;987654321;Sebastiany 2;
Wojtek-Projekt-Regresja;Wojtek Sp. z o. o.;Wojtek Jadrowski;111222333;Wojtek Y;
Projekt PIWO;Joe Doe;Ola Eldøy;91813211;KH;
Meh;ASBJØRN KLING;Ansatt Cafe MM Oasen;;KH;
Wojtek-Projekt-Regresja;;;;Wojtek Y;
Monserus Renseanlegg 10016;;;;Sebastiany 1;
Monserus Renseanlegg 10016;;;;Sebastiany 2;
Prinsensgt. 26 Stortinget;;;;Sebastiany 1;
Test Seba 2;;;;Sebastiany 1;
Wojtek-Projekt-Regresja;;;;Wojtek X;
Meh;;;;KH;
Wojtek-Projekt-Regresja;;;;Wojtek X;
Wojtek-Projekt-Regresja;Wojtek Sp. z o. o.;Wojtek Jadrowski;111222333;Wojtek Z;
Remont Dworca Głównego PKP;Ukjent debitor;Andrzej Nossek;456456456;Andrzej - zespół B;
Business Garden Wroclaw;Ukjent debitor;Andrzej Nossek;456456456;Andrzej - zespół B;
Karmiki dla ptaków;.ZIELONI;;;Zielona Ekipa;
Test 102;Ukjent debitor;Sheldon Cooper;000111000;Bart team;
Meh;Mieczysław Worek;;;KH;
Test 111;;;;KH;
Meh;;;;KH;
Meh;;;;KH;
Meh;;;;KH;
Prinsensgt. 26 Stortinget;;;;Więcej niż jedno zwierze?;
Prosjekt (Eksempel);AAAA BBB;Harry Potter;1111111111;MocTeam2;
Test 101;AN - klient jednoosobowy_zmieniony;Dennis Tagaylo;;MocTeam1;
Monserus Renseanlegg 10016;AlgeX MyX;;;KH;
W770Relacja_Project2;;;;KH;
MW projekt D;MW czerwcowy;Marek Wasilewski;999888777;MW2;
Obiad rodzinny;.ZIELONI;Ola Nordmann;;M.P U-meni;
Test Seba 2;;;;M.P W-meni;
Test Seba 2;;;;MocTeam1;
Wojtek-Projekt-Regresja;;;;Monaco;
Prinsensgt. 26 Stortinget;;;;Monaco;
Testowanie JMv1.5_zmieniony;ASBJØRN KLING;James Bond;8888888888;M.P W-meni;
AN_project_1;;;;Monaco;
Prosjekt (Eksempel);AAAA BBB;BUEN 4 AS;;MocTeam1;
Test 102;;;;MocTeam2;
MW projekt D;MW czerwcowy;Marek Wasilewski;999888777;MW2;
Prosjekt (Eksempel);;;;Andrzej - zespół A;
Prosjekt (Eksempel);;;;Adam - zespół testowy;
Test 101;;;;Andrzej - zespół B;
Prosjekt (Eksempel);;;;Adam - zespół testowy;
